iter	Passed	Remaining
0	796	15130
1	1598	14382
2	2395	13576
3	3201	12806
4	4011	12033
5	4831	11273
6	5645	10484
7	6470	9706
8	7279	8897
9	8088	8088
10	8899	7281
11	9705	6470
12	10541	5676
13	11342	4861
14	12162	4054
15	12977	3244
16	13782	2432
17	14606	1622
18	15428	812
19	16240	0
