iter	RMSE
0	0.131536711
1	0.0820225441
2	0.05766349974
3	0.04463199453
4	0.0359576916
5	0.03147922888
6	0.02825830157
7	0.02554889746
8	0.02317240313
9	0.02145654552
10	0.02017052174
11	0.01822692268
12	0.01744237962
13	0.0157775758
14	0.01524568886
15	0.01406156642
16	0.0129632246
17	0.0124315187
18	0.01194934308
19	0.01137494517
